id;holdate_start;holdate_end;nb_conge_acquis;nb_conge_pris;date_demande;decision;date_reponse;type_conge;conge_pay
1;2022-10-14;2022-10-13;42351;45390;2022-10-13;Accepte;2022-10-14;CongeSansSolde;28473
2;2022-10-13;2022-10-13;82893;8713;2022-10-13;EnAttente;2022-10-14;RTT;98735
3;2022-10-13;2022-10-14;21998;59758;2022-10-14;Refuse;2022-10-13;CongeSansSolde;26460
4;2022-10-13;2022-10-14;75038;92085;2022-10-14;EnAttente;2022-10-13;RTT;26761
5;2022-10-14;2022-10-14;15248;8224;2022-10-13;Refuse;2022-10-13;CongePaye;12162
6;2022-10-14;2022-10-14;83800;75985;2022-10-14;Accepte;2022-10-13;CongePaye;64701
7;2022-10-13;2022-10-13;28457;14927;2022-10-14;EnAttente;2022-10-14;CongeSansSolde;48068
8;2022-10-14;2022-10-13;23227;53363;2022-10-13;Refuse;2022-10-14;CongeSansSolde;79036
9;2022-10-13;2022-10-14;23418;45808;2022-10-14;Accepte;2022-10-13;RTT;17932
10;2022-10-14;2022-10-13;66243;73780;2022-10-13;EnAttente;2022-10-13;CongeSansSolde;33450
