id;salaire_base;emploi;date_arrive;classification;type_forfait;nb_heure;type_jour_travail;date_depart
1;78244;Assistant panel;2022-10-14;16096;Jour;44429;Ouvrable;2022-10-14
2;10583;optical;2022-10-14;16420;Jour;49919;Ouvre;2022-10-14
3;54774;Home networks;2022-10-13;41235;Jour;39449;Ouvre;2022-10-13
4;67521;hierarchy programming;2022-10-13;94141;Commission;67550;Ouvre;2022-10-14
5;39265;benchmark Soft;2022-10-13;42144;Jour;25485;Ouvre;2022-10-14
6;84115;Plastic;2022-10-13;92351;Commission;78931;Ouvre;2022-10-13
7;47732;encoding;2022-10-13;62474;Commission;91353;Ouvrable;2022-10-14
8;90244;Centre ROI withdrawal;2022-10-14;81626;Heure;67293;Ouvrable;2022-10-13
9;66306;architect;2022-10-14;2685;Jour;49962;Ouvre;2022-10-14
10;5798;Gambie;2022-10-14;21933;Commission;79561;Ouvrable;2022-10-14
