id;idcc;nom;position;coefficient;valeur_point;base_fixe;salaire_minimal
1;Dollar b magnetic;Cotton Buckinghamshire;48764;80222;67106;69877;40967
2;c transmitting;Shirt République a;90853;42190;57710;81614;34982
3;Espagne;expedite b Tools;95643;4459;92163;28018;24291
4;technologies Unbranded microchip;IB Congo;64159;58097;20721;53387;68903
5;Stagiaire;Bretagne optimizing;87679;40810;17547;30016;872
6;a;Generic;71227;46720;29517;55621;26948
7;des;maximize visualize l'Abbaye;8627;6052;62086;53342;71642
8;Bacon;metrics target Total;51188;82638;76787;30180;33832
9;bluetooth;static;63743;16465;47181;46335;89746
10;Incredible Auvergne;copying Baby;90460;94141;76859;76492;62080
