id;name;famille;taux;start_date;end_date;actuel;multiplicateur_min;multiplicateur_max
1;Chypre firewall;AutresCotisationsEmployeur;84479;2022-10-13;2022-10-13;true;638;76877
2;knowledge Practical functionalities;AssuranceChomage;21092;2022-10-13;2022-10-13;false;5838;72367
3;connecting Monténégro;ReductionCotisationsPatronales;84523;2022-10-13;2022-10-14;false;50454;90470
4;Rubber grid-enabled;AutresCotisationsEmployeur;42612;2022-10-14;2022-10-13;true;45618;40108
5;a Fresh;ReductionCotisationsPatronales;54020;2022-10-13;2022-10-14;false;16932;55642
6;a;Retraite;80348;2022-10-13;2022-10-14;true;80874;90625
7;benchmark;Sante;55997;2022-10-13;2022-10-14;false;87387;28905
8;incubate Steel Nigeria;AssuranceChomage;76659;2022-10-13;2022-10-14;false;20104;40517
9;parse;Famille;85150;2022-10-13;2022-10-14;false;81420;43652
10;COM Metal;AssuranceChomage;67194;2022-10-14;2022-10-14;false;47110;5744
