id;salaire_brut;start_date;end_date;date_paiement;salaire_net;montant_net_avant_impots;pro_fees;deductions
1;14905;2022-10-14;2022-10-13;2022-10-14;83515;95917;54105;32660
2;10677;2022-10-14;2022-10-13;2022-10-14;94671;89167;35920;32973
3;42125;2022-10-14;2022-10-13;2022-10-13;98548;73971;15236;39055
4;22573;2022-10-13;2022-10-13;2022-10-13;53098;77069;49119;79839
5;81985;2022-10-14;2022-10-14;2022-10-13;81094;20755;6724;89643
6;95701;2022-10-13;2022-10-13;2022-10-13;8998;70771;54320;16775
7;33060;2022-10-13;2022-10-13;2022-10-14;12365;52622;91947;71540
8;37248;2022-10-14;2022-10-13;2022-10-14;25591;59230;6499;30922
9;27810;2022-10-13;2022-10-13;2022-10-13;35195;26340;55983;14043
10;88463;2022-10-13;2022-10-13;2022-10-14;80899;4163;30937;35608
